year,state,count,countCat
1931,Alaska,NA,NA
1931,Arizona,497.69,100-500
1931,Arkansas,45.910000000000004,10-100
1931,California,477.48,100-500
1931,Colorado,453.27000000000004,100-500
1931,Connecticut,790.46,500-1000
1931,Delaware,1003.28,>1000
1931,District Of Columbia,832.99,500-1000
1931,Florida,260.79,100-500
1931,Georgia,104.39,100-500
1931,Hawaii,NA,NA
1931,Idaho,25.97,10-100
1931,Illinois,516.97,500-1000
1931,Indiana,541.21,500-1000
1931,Iowa,34.25,10-100
1931,Kansas,93.47,10-100
1931,Kentucky,181.04,100-500
1931,Louisiana,11.47,10-100
1931,Maine,434.35,100-500
1931,Maryland,1264.85,>1000
1931,Massachusetts,386.78,100-500
1931,Michigan,133.48,100-500
1931,Minnesota,123.53,100-500
1931,Mississippi,NA,NA
1931,Missouri,369.77,100-500
1931,Montana,284.85,100-500
1931,Nebraska,24.91,10-100
1931,Nevada,NA,NA
1931,New Hampshire,299.15,100-500
1931,New Jersey,494.19,100-500
1931,New Mexico,324.57,100-500
1931,New York,423.21999999999997,100-500
1931,North Carolina,480.48,100-500
1931,North Dakota,142.06,100-500
1931,Ohio,291.32,100-500
1931,Oklahoma,32.17,10-100
1931,Oregon,242.56,100-500
1931,Pennsylvania,821.6,500-1000
1931,Rhode Island,665.05,500-1000
1931,South Carolina,189.95,100-500
1931,South Dakota,212.36,100-500
1931,Tennessee,134.79,100-500
1931,Texas,39.56,10-100
1931,Utah,29.72,10-100
1931,Vermont,318.4,100-500
1931,Virginia,NA,NA
1931,Washington,197.43,100-500
1931,West Virginia,291.38,100-500
1931,Wisconsin,506.57,500-1000
1931,Wyoming,60.690000000000005,10-100
1932,Alabama,10.21,10-100
1932,Alaska,NA,NA
1932,Arizona,20.11,10-100
1932,Arkansas,5.33,1-10
1932,California,214.08,100-500
1932,Colorado,222.9,100-500
1932,Connecticut,348.27,100-500
1932,Delaware,15.979999999999999,10-100
1932,District Of Columbia,53.14,10-100
1932,Florida,13.63,10-100
1932,Georgia,34.36,10-100
1932,Hawaii,NA,NA
1932,Idaho,8.76,1-10
1932,Illinois,208.31,100-500
1932,Indiana,88.78,10-100
1932,Iowa,6.32,1-10
1932,Kansas,326.64,100-500
1932,Kentucky,72.99,10-100
1932,Louisiana,67.44,10-100
1932,Maine,1086.28,>1000
1932,Maryland,65.17,10-100
1932,Massachusetts,463.19,100-500
1932,Michigan,881.09,500-1000
1932,Minnesota,95.11,10-100
1932,Mississippi,NA,NA
1932,Missouri,43.160000000000004,10-100
1932,Montana,1007.97,>1000
1932,Nebraska,31.61,10-100
1932,Nevada,NA,NA
1932,New Hampshire,151.26,100-500
1932,New Jersey,373.96,100-500
1932,New Mexico,271.9,100-500
1932,New York,465.06,100-500
1932,North Carolina,423.04,100-500
1932,North Dakota,318.07,100-500
1932,Ohio,539.34,500-1000
1932,Oklahoma,43.17,10-100
1932,Oregon,514.2,500-1000
1932,Pennsylvania,470.69,100-500
1932,Rhode Island,1472.69,>1000
1932,South Carolina,182.58,100-500
1932,South Dakota,96.37,10-100
1932,Tennessee,68.99,10-100
1932,Texas,76.58,10-100
1932,Utah,13.91,10-100
1932,Vermont,1146.08,>1000
1932,Virginia,53.4,10-100
1932,Washington,631.93,500-1000
1932,West Virginia,599.65,500-1000
1932,Wisconsin,935.31,500-1000
1932,Wyoming,242.1,100-500
1933,Alabama,65.22,10-100
1933,Alaska,NA,NA
1933,Arizona,296.01,100-500
1933,Arkansas,293.32,100-500
1933,California,445.28000000000003,100-500
1933,Colorado,27.69,10-100
1933,Connecticut,330.66,100-500
1933,Delaware,82.68,10-100
1933,District Of Columbia,100.8,100-500
1933,Florida,63.93,10-100
1933,Georgia,156.88,100-500
1933,Hawaii,NA,NA
1933,Idaho,193.59,100-500
1933,Illinois,155.65,100-500
1933,Indiana,108.02,100-500
1933,Iowa,33.01,10-100
1933,Kansas,335.08,100-500
1933,Kentucky,57.86,10-100
1933,Louisiana,42.77,10-100
1933,Maine,13.39,10-100
1933,Maryland,41.18,10-100
1933,Massachusetts,351.86,100-500
1933,Michigan,462.14,100-500
1933,Minnesota,752.33,500-1000
1933,Mississippi,NA,NA
1933,Missouri,152.96,100-500
1933,Montana,419.57,100-500
1933,Nebraska,117.35,100-500
1933,Nevada,NA,NA
1933,New Hampshire,218.48,100-500
1933,New Jersey,726.94,500-1000
1933,New Mexico,148.8,100-500
1933,New York,549,500-1000
1933,North Carolina,495.59,100-500
1933,North Dakota,373.64,100-500
1933,Ohio,233.67,100-500
1933,Oklahoma,101.87,100-500
1933,Oregon,230.37,100-500
1933,Pennsylvania,336.38,100-500
1933,Rhode Island,9.36,1-10
1933,South Carolina,360.64,100-500
1933,South Dakota,299.08,100-500
1933,Tennessee,133.48,100-500
1933,Texas,361.4,100-500
1933,Utah,402.1,100-500
1933,Vermont,312.58,100-500
1933,Virginia,351.88,100-500
1933,Washington,155.84,100-500
1933,West Virginia,303.34000000000003,100-500
1933,Wisconsin,317.48,100-500
1933,Wyoming,249.06,100-500
1934,Alabama,590.27,500-1000
1934,Alaska,NA,NA
1934,Arizona,238.81,100-500
1934,Arkansas,384.57,100-500
1934,California,423.26,100-500
1934,Colorado,1204.25,>1000
1934,Connecticut,282.35,100-500
1934,Delaware,1225.2,>1000
1934,District Of Columbia,1137.49,>1000
1934,Florida,505.65,500-1000
1934,Georgia,774.78,500-1000
1934,Hawaii,NA,NA
1934,Idaho,252.43,100-500
1934,Illinois,574.84,500-1000
1934,Indiana,631.03,500-1000
1934,Iowa,346.39,100-500
1934,Kansas,538.84,500-1000
1934,Kentucky,422.55,100-500
1934,Louisiana,220.96,100-500
1934,Maine,78.02,10-100
1934,Maryland,1575.91,>1000
1934,Massachusetts,1039.49,>1000
1934,Michigan,132.48,100-500
1934,Minnesota,313.6,100-500
1934,Mississippi,NA,NA
1934,Missouri,539.48,500-1000
1934,Montana,355.92,100-500
1934,Nebraska,331.03,100-500
1934,Nevada,NA,NA
1934,New Hampshire,846.7,500-1000
1934,New Jersey,359.92,100-500
1934,New Mexico,731.9,500-1000
1934,New York,258.13,100-500
1934,North Carolina,1685.34,>1000
1934,North Dakota,657.63,500-1000
1934,Ohio,410.5,100-500
1934,Oklahoma,378.08,100-500
1934,Oregon,193.5,100-500
1934,Pennsylvania,848.11,500-1000
1934,Rhode Island,65.79,10-100
1934,South Carolina,637.61,500-1000
1934,South Dakota,1373.94,>1000
1934,Tennessee,647.85,500-1000
1934,Texas,490.66,100-500
1934,Utah,2184.87,>1000
1934,Vermont,380.66,100-500
1934,Virginia,1158.76,>1000
1934,Washington,473.84000000000003,100-500
1934,West Virginia,231.8,100-500
1934,Wisconsin,1332.84,>1000
1934,Wyoming,967.4399999999999,500-1000
1935,Alabama,265.34,100-500
1935,Alaska,NA,NA
1935,Arizona,135.02,100-500
1935,Arkansas,80.33,10-100
1935,California,466.38,100-500
1935,Colorado,1186.07,>1000
1935,Connecticut,1449.49,>1000
1935,Delaware,412.7,100-500
1935,District Of Columbia,152.73,100-500
1935,Florida,72.77,10-100
1935,Georgia,1.05,1-10
1935,Hawaii,NA,NA
1935,Idaho,182.33,100-500
1935,Illinois,746.81,500-1000
1935,Indiana,299.12,100-500
1935,Iowa,865.65,500-1000
1935,Kansas,1399.01,>1000
1935,Kentucky,533.77,500-1000
1935,Louisiana,117.22,100-500
1935,Maine,857.76,500-1000
1935,Maryland,133.17,100-500
1935,Massachusetts,286.73,100-500
1935,Michigan,1600.88,>1000
1935,Minnesota,1062,>1000
1935,Mississippi,NA,NA
1935,Missouri,345.19,100-500
1935,Montana,1422.57,>1000
1935,Nebraska,639.7,500-1000
1935,Nevada,NA,NA
1935,New Hampshire,55.13,10-100
1935,New Jersey,792.91,500-1000
1935,New Mexico,147.97,100-500
1935,New York,516.43,500-1000
1935,North Carolina,323.87,100-500
1935,North Dakota,290.45,100-500
1935,Ohio,544.79,500-1000
1935,Oklahoma,102.91,100-500
1935,Oregon,705.43,500-1000
1935,Pennsylvania,917.36,500-1000
1935,Rhode Island,994.0500000000001,500-1000
1935,South Carolina,46.26,10-100
1935,South Dakota,167.25,100-500
1935,Tennessee,51.31,10-100
1935,Texas,64.07,10-100
1935,Utah,50.16,10-100
1935,Vermont,389.3,100-500
1935,Virginia,727.35,500-1000
1935,Washington,525.47,500-1000
1935,West Virginia,605.9,500-1000
1935,Wisconsin,1415.38,>1000
1935,Wyoming,935.42,500-1000
1936,Alabama,20.78,10-100
1936,Alaska,NA,NA
1936,Arizona,525.5,500-1000
1936,Arkansas,5.66,1-10
1936,California,773.54,500-1000
1936,Colorado,54.74,10-100
1936,Connecticut,228.97,100-500
1936,Delaware,555.96,500-1000
1936,District Of Columbia,335.59000000000003,100-500
1936,Florida,18.22,10-100
1936,Georgia,0.27,0-1
1936,Hawaii,NA,NA
1936,Idaho,262.62,100-500
1936,Illinois,15.43,10-100
1936,Indiana,21.15,10-100
1936,Iowa,8,1-10
1936,Kansas,23.17,10-100
1936,Kentucky,79.66,10-100
1936,Louisiana,57.67,10-100
1936,Maine,891.89,500-1000
1936,Maryland,405.28,100-500
1936,Massachusetts,613.8100000000001,500-1000
1936,Michigan,47.72,10-100
1936,Minnesota,283.03,100-500
1936,Mississippi,NA,NA
1936,Missouri,17.37,10-100
1936,Montana,81.57,10-100
1936,Nebraska,86.34,10-100
1936,Nevada,NA,NA
1936,New Hampshire,185.39000000000001,100-500
1936,New Jersey,215.06,100-500
1936,New Mexico,234.94,100-500
1936,New York,477.48,100-500
1936,North Carolina,40.3,10-100
1936,North Dakota,16.52,10-100
1936,Ohio,136.53,100-500
1936,Oklahoma,15.22,10-100
1936,Oregon,919.15,500-1000
1936,Pennsylvania,243.53,100-500
1936,Rhode Island,368.69,100-500
1936,South Carolina,48.24,10-100
1936,South Dakota,33.6,10-100
1936,Tennessee,50.18,10-100
1936,Texas,125.58,100-500
1936,Utah,117.89,100-500
1936,Vermont,2974.79,>1000
1936,Virginia,127.83,100-500
1936,Washington,463.74,100-500
1936,West Virginia,63.26,10-100
1936,Wisconsin,126.57000000000001,100-500
1936,Wyoming,57.519999999999996,10-100
1937,Alabama,22.46,10-100
1937,Alaska,NA,NA
1937,Arizona,837.3,500-1000
1937,Arkansas,16.98,10-100
1937,California,78.26,10-100
1937,Colorado,93,10-100
1937,Connecticut,606.76,500-1000
1937,Delaware,707.1,500-1000
1937,District Of Columbia,333.27,100-500
1937,Florida,23.08,10-100
1937,Georgia,NA,NA
1937,Hawaii,NA,NA
1937,Idaho,243.15,100-500
1937,Illinois,146.95,100-500
1937,Indiana,210.12,100-500
1937,Iowa,10.76,10-100
1937,Kansas,42.11,10-100
1937,Kentucky,245.75,100-500
1937,Louisiana,20.71,10-100
1937,Maine,134.35,100-500
1937,Maryland,698.17,500-1000
1937,Massachusetts,478.32,100-500
1937,Michigan,115.59,100-500
1937,Minnesota,25.12,10-100
1937,Mississippi,0,0
1937,Missouri,186.45,100-500
1937,Montana,111.71000000000001,100-500
1937,Nebraska,34.46,10-100
1937,Nevada,NA,NA
1937,New Hampshire,393.13,100-500
1937,New Jersey,1108.94,>1000
1937,New Mexico,487.27,100-500
1937,New York,202.81,100-500
1937,North Carolina,226.07,100-500
1937,North Dakota,8.4,1-10
1937,Ohio,366.37,100-500
1937,Oklahoma,45.62,10-100
1937,Oregon,38.19,10-100
1937,Pennsylvania,390.89,100-500
1937,Rhode Island,679.22,500-1000
1937,South Carolina,99.18,10-100
1937,South Dakota,9.84,1-10
1937,Tennessee,106.41,100-500
1937,Texas,235.14000000000001,100-500
1937,Utah,396.79,100-500
1937,Vermont,289.31,100-500
1937,Virginia,337.39,100-500
1937,Washington,103.34,100-500
1937,West Virginia,110.04,100-500
1937,Wisconsin,66.55,10-100
1937,Wyoming,69.91,10-100
1938,Alabama,496.44,100-500
1938,Alaska,NA,NA
1938,Arizona,149.34,100-500
1938,Arkansas,356.73,100-500
1938,California,278.32,100-500
1938,Colorado,823.71,500-1000
1938,Connecticut,107.56,100-500
1938,Delaware,236.02,100-500
1938,District Of Columbia,115.59,100-500
1938,Florida,517.83,500-1000
1938,Georgia,299.92,100-500
1938,Hawaii,NA,NA
1938,Idaho,425.67,100-500
1938,Illinois,1145.16,>1000
1938,Indiana,523.18,500-1000
1938,Iowa,223.17000000000002,100-500
1938,Kansas,583.06,500-1000
1938,Kentucky,393.49,100-500
1938,Louisiana,44.77,10-100
1938,Maine,509.67,500-1000
1938,Maryland,159.06,100-500
1938,Massachusetts,229.97,100-500
1938,Michigan,1505.5,>1000
1938,Minnesota,256.2,100-500
1938,Mississippi,0,0
1938,Missouri,525.47,500-1000
1938,Montana,1119.76,>1000
1938,Nebraska,209.06,100-500
1938,Nevada,NA,NA
1938,New Hampshire,341.34,100-500
1938,New Jersey,716.98,500-1000
1938,New Mexico,628.89,500-1000
1938,New York,518.84,500-1000
1938,North Carolina,1383.37,>1000
1938,North Dakota,863.45,500-1000
1938,Ohio,694.27,500-1000
1938,Oklahoma,116.62,100-500
1938,Oregon,121.89,100-500
1938,Pennsylvania,1329.75,>1000
1938,Rhode Island,35.949999999999996,10-100
1938,South Carolina,373.4,100-500
1938,South Dakota,212.46,100-500
1938,Tennessee,403.65,100-500
1938,Texas,95.34,10-100
1938,Utah,1808.86,>1000
1938,Vermont,1652.64,>1000
1938,Virginia,475.81,100-500
1938,Washington,112.23,100-500
1938,West Virginia,595.16,500-1000
1938,Wisconsin,2348.05,>1000
1938,Wyoming,360.59,100-500
1939,Alabama,182.64,100-500
1939,Alaska,NA,NA
1939,Arizona,144.02,100-500
1939,Arkansas,123.51,100-500
1939,California,939.48,500-1000
1939,Colorado,525.21,500-1000
1939,Connecticut,937.54,500-1000
1939,Delaware,94.63,10-100
1939,District Of Columbia,497.42,100-500
1939,Florida,157.53,100-500
1939,Georgia,115.95,100-500
1939,Hawaii,NA,NA
1939,Idaho,694.15,500-1000
1939,Illinois,100.12,100-500
1939,Indiana,59.79,10-100
1939,Iowa,209.13,100-500
1939,Kansas,158.21,100-500
1939,Kentucky,79.78,10-100
1939,Louisiana,157.03,100-500
1939,Maine,271.09,100-500
1939,Maryland,852.92,500-1000
1939,Massachusetts,546.1899999999999,500-1000
1939,Michigan,328.17,100-500
1939,Minnesota,655.6800000000001,500-1000
1939,Mississippi,0,0
1939,Missouri,76.61,10-100
1939,Montana,1973.32,>1000
1939,Nebraska,276.01,100-500
1939,Nevada,NA,NA
1939,New Hampshire,133.99,100-500
1939,New Jersey,104.83,100-500
1939,New Mexico,316.1,100-500
1939,New York,331.36,100-500
1939,North Carolina,664.5,500-1000
1939,North Dakota,843.21,500-1000
1939,Ohio,74,10-100
1939,Oklahoma,194.44,100-500
1939,Oregon,219.8,100-500
1939,Pennsylvania,186.57,100-500
1939,Rhode Island,416.85,100-500
1939,South Carolina,60.34,10-100
1939,South Dakota,1173.78,>1000
1939,Tennessee,108.43,100-500
1939,Texas,115.98,100-500
1939,Utah,1002.23,>1000
1939,Vermont,1029.19,>1000
1939,Virginia,394.24,100-500
1939,Washington,1158.16,>1000
1939,West Virginia,99.07,10-100
1939,Wisconsin,768.04,500-1000
1939,Wyoming,1392.3400000000001,>1000
1940,Alabama,115.12,100-500
1940,Alaska,NA,NA
1940,Arizona,339.06,100-500
1940,Arkansas,72,10-100
1940,California,376.44,100-500
1940,Colorado,231.8,100-500
1940,Connecticut,376.52,100-500
1940,Delaware,36.04,10-100
1940,District Of Columbia,126.99,100-500
1940,Florida,114.19,100-500
1940,Georgia,93.84,10-100
1940,Hawaii,NA,NA
1940,Idaho,337.53,100-500
1940,Illinois,84.14,10-100
1940,Indiana,16.65,10-100
1940,Iowa,212.6,100-500
1940,Kansas,450.3,100-500
1940,Kentucky,97.62,10-100
1940,Louisiana,47.78,10-100
1940,Maine,837.74,500-1000
1940,Maryland,233.84,100-500
1940,Massachusetts,498.72,100-500
1940,Michigan,299.7,100-500
1940,Minnesota,300.31,100-500
1940,Mississippi,0,0
1940,Missouri,15.55,10-100
1940,Montana,476.48,100-500
1940,Nebraska,129.04,100-500
1940,Nevada,0,0
1940,New Hampshire,147.66,100-500
1940,New Jersey,301.99,100-500
1940,New Mexico,216.63,100-500
1940,New York,212.23,100-500
1940,North Carolina,210.27,100-500
1940,North Dakota,149.05,100-500
1940,Ohio,22.4,10-100
1940,Oklahoma,60.4,10-100
1940,Oregon,671.12,500-1000
1940,Pennsylvania,148.62,100-500
1940,Rhode Island,467.71999999999997,100-500
1940,South Carolina,32.32,10-100
1940,South Dakota,253.82999999999998,100-500
1940,Tennessee,95.17,10-100
1940,Texas,249.88,100-500
1940,Utah,1363.22,>1000
1940,Vermont,241.07,100-500
1940,Virginia,203.84,100-500
1940,Washington,919.59,500-1000
1940,West Virginia,29.79,10-100
1940,Wisconsin,636.45,500-1000
1940,Wyoming,393.6,100-500
1941,Alabama,297.47,100-500
1941,Alaska,NA,NA
1941,Arizona,615.29,500-1000
1941,Arkansas,273.89,100-500
1941,California,174.42,100-500
1941,Colorado,661.75,500-1000
1941,Connecticut,364.57,100-500
1941,Delaware,1268.35,>1000
1941,District Of Columbia,488.19,100-500
1941,Florida,459.76,100-500
1941,Georgia,294.12,100-500
1941,Hawaii,NA,NA
1941,Idaho,102.03,100-500
1941,Illinois,613.14,500-1000
1941,Indiana,381.63,100-500
1941,Iowa,197.87,100-500
1941,Kansas,764.47,500-1000
1941,Kentucky,610.5,500-1000
1941,Louisiana,35.01,10-100
1941,Maine,557.7,500-1000
1941,Maryland,384.33,100-500
1941,Massachusetts,474.01,100-500
1941,Michigan,1119.5,>1000
1941,Minnesota,35.34,10-100
1941,Mississippi,0,0
1941,Missouri,175.17,100-500
1941,Montana,161.21,100-500
1941,Nebraska,34.6,10-100
1941,Nevada,275.84000000000003,100-500
1941,New Hampshire,201.98000000000002,100-500
1941,New Jersey,1044.54,>1000
1941,New Mexico,778.1,500-1000
1941,New York,789.51,500-1000
1941,North Carolina,658.4,500-1000
1941,North Dakota,223.2,100-500
1941,Ohio,1132.77,>1000
1941,Oklahoma,88.78,10-100
1941,Oregon,607.51,500-1000
1941,Pennsylvania,1011.32,>1000
1941,Rhode Island,57.67,10-100
1941,South Carolina,481.96999999999997,100-500
1941,South Dakota,61.339999999999996,10-100
1941,Tennessee,278.13,100-500
1941,Texas,308.34,100-500
1941,Utah,281.09,100-500
1941,Vermont,384.64,100-500
1941,Virginia,1035.28,>1000
1941,Washington,118.23,100-500
1941,West Virginia,592.24,500-1000
1941,Wisconsin,993.07,500-1000
1941,Wyoming,381.73,100-500
1942,Alabama,126.15,100-500
1942,Alaska,NA,NA
1942,Arizona,740.83,500-1000
1942,Arkansas,232.7,100-500
1942,California,1222.01,>1000
1942,Colorado,505.49,500-1000
1942,Connecticut,587.88,500-1000
1942,Delaware,90.16,10-100
1942,District Of Columbia,190.76,100-500
1942,Florida,189.60999999999999,100-500
1942,Georgia,168.74,100-500
1942,Hawaii,NA,NA
1942,Idaho,395.08,100-500
1942,Illinois,132.69,100-500
1942,Indiana,94.99,10-100
1942,Iowa,254.79,100-500
1942,Kansas,535.23,500-1000
1942,Kentucky,84.08,10-100
1942,Louisiana,123.74,100-500
1942,Maine,540.61,500-1000
1942,Maryland,535.1899999999999,500-1000
1942,Massachusetts,564.89,500-1000
1942,Michigan,168.35,100-500
1942,Minnesota,567.73,500-1000
1942,Mississippi,0,0
1942,Missouri,178.71,100-500
1942,Montana,588.48,500-1000
1942,Nebraska,428.55,100-500
1942,Nevada,811.69,500-1000
1942,New Hampshire,167.14000000000001,100-500
1942,New Jersey,322.1,100-500
1942,New Mexico,315.64,100-500
1942,New York,191.24,100-500
1942,North Carolina,564.86,500-1000
1942,North Dakota,274.08,100-500
1942,Ohio,127.08,100-500
1942,Oklahoma,260.92,100-500
1942,Oregon,499.14,100-500
1942,Pennsylvania,380.42,100-500
1942,Rhode Island,609.25,500-1000
1942,South Carolina,218.23,100-500
1942,South Dakota,143.09,100-500
1942,Tennessee,106.34,100-500
1942,Texas,517.23,500-1000
1942,Utah,2589.06,>1000
1942,Vermont,1071.29,>1000
1942,Virginia,177.59,100-500
1942,Washington,645.64,500-1000
1942,West Virginia,303.79,100-500
1942,Wisconsin,781.79,500-1000
1942,Wyoming,635.27,500-1000
1943,Alabama,130.82,100-500
1943,Alaska,NA,NA
1943,Arizona,172.44,100-500
1943,Arkansas,162.6,100-500
1943,California,340.06,100-500
1943,Colorado,976.97,500-1000
1943,Connecticut,550.38,500-1000
1943,Delaware,564.55,500-1000
1943,District Of Columbia,234.27,100-500
1943,Florida,68.57,10-100
1943,Georgia,126.45,100-500
1943,Hawaii,NA,NA
1943,Idaho,650.9,500-1000
1943,Illinois,328.45,100-500
1943,Indiana,263,100-500
1943,Iowa,242.8,100-500
1943,Kansas,547.84,500-1000
1943,Kentucky,383.79,100-500
1943,Louisiana,106.44,100-500
1943,Maine,297.99,100-500
1943,Maryland,196.78,100-500
1943,Massachusetts,752.17,500-1000
1943,Michigan,765.18,500-1000
1943,Minnesota,398.01,100-500
1943,Mississippi,NA,NA
1943,Missouri,196.08,100-500
1943,Montana,1122.06,>1000
1943,Nebraska,401.02,100-500
1943,Nevada,397.32,100-500
1943,New Hampshire,211.18,100-500
1943,New Jersey,927.14,500-1000
1943,New Mexico,105.71000000000001,100-500
1943,New York,478.18,100-500
1943,North Carolina,165.96,100-500
1943,North Dakota,798.53,500-1000
1943,Ohio,276.40999999999997,100-500
1943,Oklahoma,76.06,10-100
1943,Oregon,693.95,500-1000
1943,Pennsylvania,563.08,500-1000
1943,Rhode Island,296.39,100-500
1943,South Carolina,153.66,100-500
1943,South Dakota,507.31,500-1000
1943,Tennessee,194.95000000000002,100-500
1943,Texas,233.42,100-500
1943,Utah,1211.27,>1000
1943,Vermont,2323.73,>1000
1943,Virginia,341.34,100-500
1943,Washington,765.07,500-1000
1943,West Virginia,133.75,100-500
1943,Wisconsin,1290.54,>1000
1943,Wyoming,1088.61,>1000
1944,Alabama,252.87,100-500
1944,Alaska,NA,NA
1944,Arizona,736.71,500-1000
1944,Arkansas,207.51,100-500
1944,California,599.97,500-1000
1944,Colorado,556.49,500-1000
1944,Connecticut,493.5,100-500
1944,Delaware,138.4,100-500
1944,District Of Columbia,310.09,100-500
1944,Florida,189.74,100-500
1944,Georgia,171.51,100-500
1944,Hawaii,NA,NA
1944,Idaho,182.34,100-500
1944,Illinois,239.79,100-500
1944,Indiana,149.11,100-500
1944,Iowa,201.38,100-500
1944,Kansas,551.62,500-1000
1944,Kentucky,86.5,10-100
1944,Louisiana,104,100-500
1944,Maine,611.07,500-1000
1944,Maryland,613.78,500-1000
